fold,descritor,modelo,score_interno,auc,auc_pr,balanced_accuracy,sensibilidade,especificidade,f1,accuracy
0,Forma,RandomForest,0.6860119047619048,0.6285714285714286,0.6222222222222222,0.5428571428571429,0.8,0.2857142857142857,0.5714285714285714,0.5
1,Gradiente,LogReg,0.638723544973545,0.6285714285714286,0.7633333333333332,0.5142857142857142,0.6,0.42857142857142855,0.5,0.5
2,Combinado,RandomForest,0.6917989417989419,0.5142857142857142,0.7398268398268397,0.6428571428571428,0.2857142857142857,1.0,0.4444444444444444,0.5833333333333334
3,GLCM,LogReg,0.685433201058201,0.6285714285714286,0.6888888888888889,0.5857142857142856,0.6,0.5714285714285714,0.5454545454545454,0.5833333333333334
4,GLCM,RandomForest,0.7684771825396824,0.3125,0.6719065656565657,0.5,0.25,0.75,0.36363636363636365,0.4166666666666667
