estrategia,n_features,auc_mean,auc_std,auc_pooled,auc_pr_mean,balanced_accuracy_mean
central (K=1),12,0.7380357142857144,0.11300129243436437,0.6244444444444445,0.8072723665223664,0.6449999999999999
pool K=3 (média),12,0.6964285714285714,0.08306930964009293,0.5988888888888889,0.7744581529581529,0.5753571428571428
pool K=5 (média),12,0.6923214285714285,0.08929374963842536,0.5966666666666667,0.7731049783549784,0.5753571428571428
pool K=9 (média),12,0.7344642857142857,0.10789098924944795,0.59,0.793053107606679,0.5621428571428572
pool K=5 (média+dp),24,0.6501785714285714,0.08762836793725501,0.6144444444444446,0.7134781488352917,0.5832142857142857
