modalidade,distancia_glcm,niveis_cinza,auc_mean,auc_std,accuracy_mean,n_pacientes
T1wCE,1,16,0.7817857142857143,0.13334635353094587,0.5833333333333333,60
T1wCE,1,32,0.7505357142857143,0.11378867922780439,0.6166666666666668,60
T1wCE,3,32,0.683392857142857,0.12632524530766137,0.5833333333333333,60
T1wCE,3,16,0.6314285714285715,0.10613814640575261,0.5333333333333333,60
T1w,1,32,0.5842857142857143,0.21948455387055166,0.5333333333333333,60
T1w,3,16,0.5483928571428571,0.1329134145423483,0.5166666666666666,60
T1w,3,32,0.5157142857142857,0.17499271121847282,0.4666666666666667,60
T1w,1,16,0.5,0.20751198637619925,0.5166666666666666,60
