configuracao,auc_mean,auc_std,auc_pooled,auc_pr_mean,balanced_accuracy_mean,accuracy_mean
"pipeline_completo (normalize=True, crop=True)",0.7380357142857144,0.11300129243436437,0.6244444444444445,0.8072723665223664,0.6449999999999999,0.6000000000000001
"sem_normalizacao_percentil (normalize=False, crop=True)",0.6433928571428572,0.1311308983420765,0.5755555555555556,0.7125766336837766,0.54,0.5166666666666666
"sem_recorte (normalize=True, crop=False)",0.6928571428571428,0.08777289805317504,0.6277777777777778,0.7675409451659452,0.5725,0.55
